105,Grambling Tigers,Grambling,Louisiana,1978
106,Grand Canyon Antelopes,Phoenix,Arizona,2014
107,Green Bay Phoenix,Green Bay,Wisconsin,1982
108,Hampton Pirates,Hampton,Virginia,1996
109,Hartford Hawks,West Hartfor,Connecticut,1985
110,Harvard Crimson,Boston,Massachusetts,1901
111,Hawaii Rainbow Warriors,Honolulu,Hawaii,1971
112,High Point Panthers,High Point,North Carolina,2000
113,Hofstra Pride,Hempstead,New York,1943
114,Holy Cross Crusaders,Worcester,Massachusetts,1901
115,Houston Baptist Huskies,Houston,Texas,1974
116,Houston Cougars,Houston,Texas,1951
117,Howard Bison,Washington,D.C.,1974
118,Idaho State Bengals,Pocatello,Idaho,1959
119,Idaho Vandals,Moscow,Idaho,1906
120,Illinois Fighting Illini,Champaign,Illinois,1906
121,Illinois State Redbirds,Normal,Illinois,1899
122,Illinois-Chicago Flames,Chicago,Illinois,1982
123,Incarnate Word Cardinals,San Antonio,Texas,2014
124,Indiana Hoosiers,Bloomington,Indiana,1901
125,Indiana State Sycamores,Terre Haute,Indiana,1900
126,Iona Gaels,New Rochelle,New York,1954
127,Iowa Hawkeyes,Iowa City,Iowa,1893
128,Iowa State Cyclones,Ames,Iowa,1908
129,IUPUI Jaguars,Indianapolis,Indiana,1999
130,Jackson State Tigers,Jackson,Mississippi,1978
131,Jacksonville Dolphins,Jacksonville,Florida,1967
132,Jacksonville State Gamecocks,Jacksonville,Alabama,1996
133,James Madison Dukes,Harrisonburg,Virginia,1977
134,Kansas Jayhawks,Lawrence,Kansas,1899
135,Kansas State Wildcats,Manhattan,Kansas,1906
136,Kennesaw State Owls,Kennesaw,Georgia,2010
137,Kent State Golden Flashes,Kent,Ohio,1914
138,Kentucky Wildcats,Lexington,Kentucky,1903
139,La Salle Explorers,Philadelphia,Pennsylvania,1932
140,Lafayette Leopards,Easton,Pennsylvania,1901
141,Lamar Cardinals,Beaumont,Texas,1970
142,Lehigh Mountain Hawks,Bethlehem,Pennsylvania,1902
143,Liberty Flames,Lynchburg,Virginia,1989
144,Lipscomb Bisons,Nashville,Tennessee,2004
145,Little Rock Trojans,Little Rock,Arkansas,1979
146,Long Beach State 49ers,Long Beach,California,1970
147,Long Island University Blackbirds,Brooklyn,New York,1929
148,Longwood Lancers,Farmville,Virginia,2008
149,Louisiana Ragin' Cajuns,Lafayette,Louisiana,1972
150,Louisiana State Fighting Tigers,Baton Rouge,Louisiana,1909
151,Louisiana Tech Bulldogs,Ruston,Louisiana,1974
152,Louisiana-Monroe Warhawks,Monroe,Louisiana,1974
153,Louisville Cardinals,Louisville,Kentucky,1912
154,Loyola (IL) Ramblers,Chicago,Illinois,1921
155,Loyola (MD) Greyhounds,Baltimore,Maryland,1908
156,Loyola Marymount Lions,Los Angeles,California,1943
157,Maine Black Bears,Orono,Maine,1904
158,Manhattan Jaspers,Riverdale,New York,1905
159,Marist Red Foxes,Poughkeepsie,New York,1982
160,Marquette Golden Eagles,Milwaukee,Wisconsin,1917
161,Marshall Thundering Herd,Huntington,West Virginia,1919
162,Maryland Terrapins,College Park,Maryland,1924
163,Maryland-Baltimore County Retrievers,Baltimore,Maryland,1987
