Auburn Tigers,18,Cole Blackstock\cole-blackstock-1,41,JR,F,6-9,253,Killen AL,Brooks HS,0.3,0.3,0
Auburn Tigers,18,Patrick Keim\patrick-keim-1,21,SR,G,6-2,186,Birmingham AL,Mountain Brook HS,0.3,0.2,0
Auburn Tigers,18,Thomas Collier\thomas-collier-1,,SO,F,6-9,215,Birmingham AL,Briarwood Christian High School,0.4,0.4,0
Auburn Tigers,18,Brett Easterling\brett-easterling-1,,FR,G,6-1,165,Tallahassee FL,Lawton Chiles High School,0.3,0.1,0
Auburn Tigers,18,Will Macoy\will-macoy-1,22,SO,G,6-4,180,Birmingham AL,Mountain Brook High School,0.2,0.3,0
Auburn Tigers,18,Devontae Williams\devontae-williams-1,12,SO,G,6-4,215,Opp AL,Opp High School,0.1,0.1,0.1
Auburn Tigers,18,Samir Doughty\samir-doughty-1,20,,G,6-4,187,Philadelphia PA,Math Civics & Sciences HS,,,
Auburn Tigers,18,Danjel Purifoy\danjel-purifoy-1,3,,F,6-7,230,Centreville AL,Hargrave Military Academy,,,
Auburn Tigers,18,Austin Wiley\austin-wiley-1,50,,C,6-11,260,,Spain Pain High School,,,
Florida Gators,88,Mustapha Heron\mustapha-heron-1,5,SO,G,6-5,215,Waterbury CT,Sacred Heart High School,16.4,5.3,0.9
Florida Gators,88,Bryce Brown\bryce-brown-1,2,JR,G,6-3,195,Stone Mountain GA,Tucker HS,15.9,2,1.7
Florida Gators,88,Jared Harper\jared-harper-12,1,SO,G,5-10,165,Mableton GA,Pebblebrook High School,13.2,2.4,5.4
Florida Gators,88,DeSean Murray\desean-murray-1,13,JR,F,6-5,210,Stanley NC,Northside Christian HS,10.1,6.7,1.7
Florida Gators,88,Chuma Okeke\chuma-okeke-1,4,FR,F,6-8,230,Atlanta GA,Westlake High School,7.5,5.8,1.1
Florida Gators,88,Anfernee McLemore\anfernee-mclemore-1,24,SO,F,6-7,210,Warwick GA,Worth County High School,7.4,5.3,0.5
Florida Gators,88,Malik Dunbar\malik-dunbar-1,14,JR,G,6-6,230,North Augusta SC,Spring Valley High School,5.4,2.4,0.2
Florida Gators,88,Horace Spencer\horace-spencer-1,0,JR,F,6-9,220,Philadelphia PA,Findlay College Prep,4.7,4.9,0.8
